"match_variant","date","map","playlist","place","game_id"
"Team Slayer","8/14/2008 4:08:20 PM","The Pit","Team Doubles","1st","683985904"
"1 Flag CTF","8/14/2008 3:55:13 PM","High Ground","Team Objective","2nd","683956409"
"Assault","8/14/2008 3:37:13 PM","Standoff","Team Objective","1st","683914775"
"Team Crazy King","8/14/2008 3:30:30 PM","Construct","Team Objective","2nd","683899590"
"Team Crazy King","8/14/2008 3:20:34 PM","Construct","Team Objective","2nd","683877186"
"Grifball","8/14/2008 3:04:58 PM","Foundry","Grifball","1st","683841071"
"Team BRs","8/14/2008 2:35:07 PM","Epitaph","Team Doubles","1st","683770675"
"Team Slayer","8/14/2008 2:25:59 PM","Construct","Team Doubles","1st","683749072"
"Team Oddball","8/14/2008 2:15:31 PM","Construct","Team Doubles","2nd","683724696"
"Team Slayer","8/14/2008 2:07:35 PM","Foundry","Team Doubles","1st","683705936"
"Team BRs","8/14/2008 1:48:48 PM","Snowbound","Team Slayer","1st","683661101"
"Team BRs","8/14/2008 1:40:08 PM","Last Resort","Team Slayer","2nd","683640327"
"Team BRs","8/14/2008 1:21:42 PM","Foundry","Team Slayer","2nd","683598076"
"Team Slayer","8/14/2008 1:08:04 PM","Guardian","Team Doubles","2nd","683567034"
"Team Slayer","8/14/2008 12:54:35 PM","Construct","Team Doubles","1st","683536156"
"Crazy King","8/14/2008 12:42:29 PM","Construct","Team Doubles","2nd","683508795"
"Team BRs","8/14/2008 12:34:20 PM","Construct","Team Doubles","1st","683491795"
"Team Slayer","8/14/2008 12:23:30 PM","Last Resort","Social Slayer","1st","683468298"
"Big Team Slayer","8/14/2008 7:45:29 AM","Standoff","Ranked Big Team","1st","683050711"
"Big Team Slayer","8/14/2008 7:34:10 AM","Valhalla","Ranked Big Team","1st","683040526"
"Big Team Slayer","8/14/2008 7:18:41 AM","Sandtrap","Ranked Big Team","1st","683028791"
"2 Flag Heavy","8/14/2008 6:59:04 AM","Valhalla","Ranked Big Team","1st","683013722"
"1 Flag CTF","8/14/2008 6:48:12 AM","Valhalla","Ranked Big Team","1st","683006010"
"Big Team Slayer","8/14/2008 6:31:21 AM","Last Resort","Ranked Big Team","1st","682995528"
"Swords","8/14/2008 5:24:51 AM","Narrows","Rumble Pit","1st","682993122"
"Big Team Slayer","8/14/2008 6:19:40 AM","Sandtrap","Ranked Big Team","1st","682988715"
"Big Team Slayer","8/14/2008 6:05:15 AM","Rat's Nest","Ranked Big Team","1st","682980640"
"Team Slayer","8/14/2008 5:45:07 AM","Construct","Social Slayer","1st","682970187"
